,Round,Result,FSP.1,FSW.1,SSP.1,SSW.1,ACE.1,DBF.1,WNR.1,UFE.1,BPC.1,BPW.1,NPA.1,NPW.1,FSP.2,FSW.2,SSP.2,SSW.2,ACE.2,DBF.2,WNR.2,UFE.2,BPC.2,BPW.2,NPA.2,NPW.2,slam_code,Sex
22,1,0,53,43,47,22,6.0,3.0,29.0,36.0,12.0,4.0,31.0,17.0,47,42,53,26,6.0,9.0,29.0,47.0,14.0,8.0,34.0,20.0,3,2
116,1,1,59,55,41,29,9.0,6.0,35.0,29.0,10.0,14.0,26.0,37.0,52,48,48,37,8.0,9.0,36.0,30.5,8.0,12.0,39.0,67.0,4,2
70,1,0,54,21,46,14,1.0,5.0,11.0,29.0,7.0,3.0,12.0,6.0,43,22,57,22,5.0,6.0,30.0,30.0,12.0,5.0,12.0,8.0,4,1
17,1,0,55,56,45,26,11.0,9.0,35.0,29.0,6.0,12.0,17.0,22.0,57,57,43,28,7.0,6.0,36.0,30.5,8.0,14.0,18.0,22.0,4,2
79,2,1,63,44,37,18,3.0,6.0,25.0,33.0,4.0,5.0,11.0,20.0,58,38,42,13,4.0,8.0,37.0,39.0,3.0,7.0,7.0,8.0,1,1
13,1,0,58,65,42,34,19.0,4.0,35.0,29.0,3.0,15.0,17.0,22.0,64,68,36,34,14.0,3.0,36.0,30.5,3.0,4.0,18.0,22.0,4,2
24,1,1,67,49,33,19,4.0,4.0,35.0,29.0,3.0,9.0,17.0,22.0,56,45,44,22,14.0,4.0,36.0,30.5,1.0,2.0,18.0,22.0,4,2
63,1,0,59,58,41,20,10.0,6.0,35.0,29.0,1.0,6.0,16.0,27.0,53,50,47,35,20.0,6.0,36.0,30.5,4.0,15.0,21.0,27.0,4,2
14,1,0,57,31,43,11,3.0,5.0,9.0,34.0,2.0,2.0,13.0,6.0,59,19,41,11,0.0,4.0,14.0,34.0,12.0,5.0,10.0,3.0,3,1
111,3,1,67,22,33,10,3.0,2.0,13.0,16.0,5.0,6.0,3.0,4.0,56,13,44,6,0.0,6.0,3.0,19.0,0.0,3.0,3.0,7.0,2,1
92,2,0,60,36,40,11,4.0,4.0,40.0,37.0,2.0,3.0,20.0,35.0,56,35,44,18,1.0,1.0,19.0,15.0,4.0,5.0,20.0,26.0,2,1
115,5,0,72,50,28,11,2.0,2.0,41.0,28.0,3.0,2.0,39.0,25.0,62,42,38,17,7.0,2.0,23.0,5.0,8.0,3.0,20.0,16.0,3,1
32,1,0,52,36,48,19,13.0,3.0,34.0,38.0,0.0,1.0,19.0,34.0,58,40,42,19,11.0,5.0,30.0,17.0,4.0,17.0,18.0,22.0,1,2
36,1,1,51,36,49,29,6.0,8.0,35.0,29.0,3.0,8.0,13.0,23.0,46,29,54,27,10.0,5.0,36.0,30.5,3.0,8.0,13.0,21.0,4,2
57,1,0,72,54,28,10,4.0,7.0,4.0,7.0,3.0,6.0,9.0,9.5,49,36,51,25,5.0,6.0,5.0,6.0,3.0,6.0,9.0,9.0,1,1
25,3,1,61,36,39,15,6.0,3.0,24.0,20.0,8.0,3.0,15.0,11.0,56,28,44,12,7.0,3.0,25.0,30.0,6.0,1.0,11.0,9.0,4,1
38,1,0,63,35,37,20,1.0,3.0,9.0,34.0,3.0,9.0,0.0,1.0,64,42,36,15,3.0,5.0,32.0,52.0,3.0,9.0,11.0,13.0,1,1
77,2,0,63,13,37,6,3.0,3.0,14.0,30.0,0.0,2.0,3.0,7.0,78,27,22,6,4.0,2.0,15.0,8.0,5.0,10.0,2.0,3.0,1,1
83,1,1,62,63,38,28,14.0,4.0,35.0,29.0,6.0,11.0,25.0,42.0,66,66,34,22,11.0,2.0,36.0,30.5,4.0,10.0,45.0,79.0,4,2
42,1,1,64,30,36,12,4.0,5.0,25.0,45.0,6.0,16.0,16.0,36.0,64,37,36,12,4.0,5.0,26.0,42.0,5.0,8.0,11.0,18.0,2,2
65,2,0,66,36,34,16,3.0,1.0,31.0,25.0,4.0,8.0,7.0,18.0,62,45,38,14,8.0,6.0,39.0,28.0,7.0,12.0,9.0,15.0,2,2
43,1,0,60,21,40,11,5.0,2.0,14.0,27.0,1.0,6.0,5.0,11.0,61,33,39,14,0.0,6.0,21.0,30.0,3.0,7.0,6.0,7.0,1,1
56,1,1,75,31,25,7,1.0,1.0,22.0,27.0,6.0,12.0,1.0,3.0,58,22,42,10,3.0,13.0,14.0,43.0,4.0,6.0,3.0,6.0,1,1
87,2,1,53,40,47,23,3.0,9.0,20.0,55.0,6.0,9.0,6.0,7.0,60,44,40,23,2.0,12.0,34.0,67.0,7.0,20.0,6.0,6.0,1,1
55,1,0,48,57,52,45,13.0,3.0,35.0,29.0,1.0,4.0,22.0,32.0,62,62,38,31,13.0,4.0,36.0,30.5,4.0,13.0,26.0,29.0,4,2
66,2,0,61,23,39,7,1.0,4.0,13.0,26.0,6.0,2.0,17.0,9.0,72,33,28,11,2.0,3.0,17.0,18.0,7.0,5.0,16.0,11.0,3,1
2,1,0,55,61,45,32,11.0,13.0,35.0,29.0,5.0,13.0,17.0,22.0,55,66,45,27,10.0,9.0,36.0,30.5,5.0,15.0,18.0,22.0,4,2
60,1,0,63,42,37,12,3.0,10.0,31.0,54.0,5.0,10.0,9.0,19.0,65,40,35,21,3.0,3.0,22.0,37.0,7.0,13.0,12.0,19.0,2,1
103,3,1,71,34,29,12,2.0,2.0,38.0,21.0,6.0,9.0,13.0,19.0,55,32,45,8,3.0,8.0,18.0,28.0,3.0,4.0,0.0,3.0,2,1
114,4,0,62,31,38,16,7.0,2.0,25.0,23.0,16.0,5.0,24.0,12.0,61,38,39,20,10.0,3.0,35.0,25.0,8.0,5.0,16.0,14.0,3,1
89,2,1,50,68,50,47,32.0,5.0,78.0,45.0,7.0,24.0,28.0,32.0,66,86,34,27,24.0,11.0,59.0,74.0,2.0,10.0,21.0,35.0,1,2
78,2,0,71,28,29,8,1.0,1.0,18.0,6.0,9.0,3.0,6.0,6.0,73,29,27,7,0.0,4.0,24.0,14.0,11.0,6.0,15.0,13.0,3,1
37,1,1,60,41,40,21,12.0,2.0,35.0,29.0,5.0,11.0,20.0,21.0,49,29,51,18,9.0,9.0,36.0,30.5,1.0,3.0,5.0,13.0,4,2
113,7,0,65,40,35,15,4.0,4.0,31.0,40.0,13.0,4.0,52.0,30.0,64,48,36,16,9.0,2.0,36.0,21.0,17.0,7.0,37.0,26.0,3,2
125,1,0,68,40,32,16,6.0,2.0,35.0,29.0,3.0,11.0,22.0,36.0,64,51,36,24,1.0,1.0,36.0,30.5,7.0,12.0,17.0,23.0,4,2
100,3,1,68,42,32,15,17.0,0.0,38.0,7.0,5.0,11.0,12.0,13.0,53,34,47,18,3.0,7.0,34.0,44.0,0.0,1.0,11.0,15.0,1,2
109,1,0,61,55,39,23,10.0,5.0,35.0,29.0,5.0,19.0,14.0,24.0,65,65,35,23,24.0,6.0,36.0,30.5,6.0,8.0,17.0,27.0,4,2
55,1,0,58,10,42,8,2.0,2.0,9.0,30.0,1.0,2.0,5.0,7.0,61,17,39,11,2.0,2.0,15.0,16.0,6.0,12.0,11.0,18.0,1,1
102,3,1,71,55,29,18,2.0,1.0,23.0,10.0,18.0,3.0,31.0,20.0,61,53,39,16,15.0,1.0,67.0,51.0,10.0,2.0,34.0,22.0,3,1
11,1,1,68,27,32,14,2.0,1.0,23.0,19.0,10.0,6.0,24.0,18.0,64,16,36,5,2.0,3.0,12.0,24.0,10.0,2.0,22.0,14.0,3,1
72,2,1,53,36,47,20,0.0,11.0,21.0,36.0,14.0,5.0,22.0,13.0,58,40,42,16,3.0,6.0,19.0,24.0,15.0,5.0,18.0,10.0,3,1
26,1,1,64,41,36,16,4.0,4.0,21.0,24.0,3.0,14.0,9.0,12.0,67,44,33,17,4.0,2.0,38.0,24.0,3.0,8.0,9.0,18.0,2,1
7,1,0,51,39,49,24,17.0,6.0,35.0,29.0,0.0,1.0,5.0,10.0,55,42,45,28,12.0,2.0,36.0,30.5,2.0,9.0,10.0,10.0,4,2
45,1,0,61,66,39,37,17.0,6.0,66.0,55.0,9.0,2.0,46.0,28.0,73,76,27,30,13.0,0.0,47.0,39.0,9.0,5.0,27.0,15.0,3,2
50,1,0,74,38,26,10,0.0,4.0,42.0,54.0,20.0,8.0,44.0,30.0,68,39,32,15,2.0,2.0,26.0,18.0,20.0,9.0,18.0,11.0,3,1
22,1,1,58,36,42,22,6.0,1.0,25.0,23.0,5.0,11.0,11.0,14.0,59,35,41,18,1.0,2.0,31.0,45.0,1.0,3.0,12.0,20.0,1,2
116,5,0,63,24,37,5,3.0,3.0,21.0,19.0,8.0,4.0,10.0,8.0,58,26,42,15,0.0,3.0,6.0,12.0,12.0,6.0,10.0,4.0,3,1
32,1,0,48,27,52,11,2.0,6.0,35.0,29.0,2.0,4.0,9.0,20.0,56,34,44,12,10.0,3.0,36.0,30.5,8.0,15.0,21.0,28.0,4,2
41,1,1,64,41,36,18,3.0,3.0,3.0,3.0,6.0,11.0,9.0,9.5,62,44,38,15,2.0,7.0,2.0,7.0,5.0,9.0,9.0,9.0,1,1
9,4,0,54,18,46,11,2.0,7.0,20.0,35.0,1.0,1.0,16.0,7.0,54,19,46,15,6.0,0.0,12.0,9.0,8.0,4.0,5.0,4.0,4,1
52,1,0,58,54,42,28,10.0,9.0,10.0,9.0,0.0,0.0,17.0,22.0,57,55,43,30,14.0,4.0,14.0,4.0,4.0,8.0,18.0,22.0,1,2
12,1,1,54,49,46,30,9.0,3.0,35.0,29.0,9.0,16.0,9.0,14.0,59,44,41,27,7.0,3.0,36.0,30.5,3.0,9.0,34.0,53.0,4,2
46,2,0,47,14,53,10,2.0,5.0,18.0,37.0,2.0,2.0,9.0,7.0,82,27,18,7,0.0,0.0,6.0,14.0,6.0,4.0,2.0,2.0,4,1
4,1,0,76,63,24,12,0.0,4.0,16.0,35.0,3.0,12.0,9.0,13.0,53,59,47,32,17.0,11.0,59.0,79.0,3.0,5.0,16.0,28.0,1,2
25,1,0,58,22,42,15,3.0,7.0,3.0,7.0,4.0,6.0,9.0,9.5,58,37,42,14,3.0,4.0,3.0,4.0,6.0,10.0,9.0,9.0,1,1
41,1,1,52,32,48,21,12.0,2.0,43.0,24.0,6.0,13.0,6.0,7.0,64,30,36,12,4.0,0.0,19.0,26.0,0.0,3.0,1.0,2.0,2,2
111,6,0,55,54,45,27,9.0,11.0,43.0,43.0,7.0,1.0,51.0,32.0,70,60,30,24,20.0,1.0,49.0,15.0,13.0,5.0,36.0,22.0,3,2
125,6,1,52,14,48,14,5.0,3.0,40.0,12.0,5.0,7.0,8.0,10.0,80,10,20,1,0.0,3.0,2.0,3.0,0.0,0.0,2.0,2.0,2,1
79,1,0,58,21,42,12,2.0,5.0,35.0,29.0,0.0,1.0,4.0,12.0,69,30,31,11,3.0,0.0,36.0,30.5,8.0,14.0,9.0,10.0,4,2
50,1,0,65,31,35,11,3.0,0.0,19.0,26.0,4.0,1.0,26.0,14.0,56,41,44,21,4.0,2.0,29.0,20.0,8.0,5.0,27.0,22.0,3,2
104,1,1,68,30,32,12,3.0,2.0,35.0,29.0,8.0,13.0,22.0,30.0,59,30,41,10,2.0,3.0,36.0,30.5,1.0,2.0,10.0,21.0,4,2
103,3,0,60,15,40,8,1.0,4.0,12.0,9.0,1.0,1.0,9.0,7.0,53,22,47,13,4.0,1.0,24.0,9.0,7.0,4.0,6.0,3.0,3,1
51,1,0,67,17,33,4,3.0,4.0,15.0,27.0,3.0,0.0,4.0,2.0,51,16,49,12,1.0,1.0,14.0,10.0,14.0,6.0,12.0,10.0,4,1
100,3,1,56,18,44,17,2.0,2.0,18.0,11.0,9.0,5.0,23.0,18.0,64,15,36,9,0.0,2.0,14.0,22.0,6.0,2.0,20.0,14.0,3,1
97,3,1,60,41,40,26,9.0,3.0,43.0,26.0,4.0,10.0,7.0,11.0,63,43,37,19,10.0,1.0,27.0,41.0,1.0,4.0,11.0,23.0,1,2
59,1,1,54,18,46,16,3.0,0.0,35.0,30.0,14.0,5.0,27.0,18.0,73,24,27,9,0.0,4.0,12.0,17.0,5.0,3.0,11.0,7.0,4,1
89,3,0,72,58,28,8,18.0,3.0,32.0,18.0,1.0,1.0,19.0,9.0,69,52,31,16,30.0,3.0,59.0,15.0,5.0,3.0,15.0,14.0,3,2
30,1,0,60,46,40,29,3.0,5.0,33.0,36.0,2.0,13.0,23.0,35.0,62,63,38,20,19.0,13.0,58.0,66.0,4.0,11.0,29.0,44.0,1,2
72,1,0,53,48,47,21,6.0,4.0,35.0,51.0,7.0,2.0,23.0,16.0,72,45,28,16,5.0,2.0,26.0,29.0,13.0,3.0,13.0,10.0,4,1
69,2,1,60,16,40,11,3.0,1.0,10.0,12.0,6.0,12.0,2.0,6.0,54,13,46,8,0.0,7.0,12.0,29.0,1.0,2.0,9.0,15.0,2,1
109,3,0,64,23,36,7,1.0,5.0,17.0,32.0,1.0,4.0,15.0,30.0,54,29,46,21,3.0,1.0,30.0,27.0,8.0,12.0,3.0,7.0,1,2
45,1,0,53,18,47,13,4.0,2.0,11.0,15.0,5.0,2.0,7.0,4.0,63,25,37,10,8.0,2.0,23.0,18.0,7.0,5.0,8.0,5.0,3,1
53,1,0,55,49,45,24,13.0,3.0,35.0,29.0,4.0,9.0,17.0,22.0,51,40,49,29,8.0,6.0,36.0,30.5,6.0,11.0,18.0,22.0,4,2
40,1,1,65,84,35,25,20.0,8.0,69.0,30.0,12.0,2.0,54.0,36.0,57,75,43,37,14.0,3.0,60.0,34.0,6.0,1.0,39.0,23.0,3,2
118,4,1,63,46,37,17,3.0,1.0,48.0,37.0,5.0,12.0,16.0,28.0,75,44,25,13,0.0,2.0,37.0,31.0,4.0,13.0,10.0,15.0,2,1
5,1,0,59,68,41,37,20.0,11.0,35.0,29.0,1.0,1.0,30.0,42.0,71,72,29,26,6.0,1.0,36.0,30.5,3.0,11.0,30.0,48.0,4,2
67,2,1,63,43,37,16,15.0,4.0,30.0,17.0,12.0,4.0,22.0,16.0,65,34,35,15,3.0,3.0,26.0,22.0,1.0,1.0,21.0,13.0,3,2
81,1,0,64,65,36,25,9.0,9.0,35.0,29.0,5.0,12.0,17.0,22.0,63,66,37,23,6.0,3.0,36.0,30.5,4.0,11.0,18.0,22.0,4,2
101,3,1,57,34,43,21,1.0,0.0,27.0,20.0,9.0,6.0,24.0,16.0,50,20,50,14,3.0,7.0,30.0,27.0,14.0,3.0,40.0,25.0,3,1
100,3,1,60,43,40,18,5.0,6.0,17.0,50.0,4.0,10.0,8.0,9.0,59,33,41,17,2.0,7.0,21.0,43.0,6.0,16.0,5.0,6.0,1,1
84,2,1,65,25,35,12,4.0,2.0,18.0,12.0,10.0,3.0,7.0,3.0,74,32,26,8,1.0,1.0,11.0,22.0,1.0,0.0,9.0,5.0,3,1
97,3,0,79,32,21,3,2.0,4.0,10.0,17.0,5.0,1.0,10.0,4.0,56,23,44,17,0.0,2.0,14.0,15.0,7.0,4.0,14.0,11.0,3,1
2,1,1,72,44,28,10,17.0,3.0,41.0,18.0,8.0,5.0,26.0,17.0,70,34,30,14,4.0,0.0,24.0,13.0,1.0,0.0,19.0,12.0,3,2
46,1,0,51,25,49,15,7.0,8.0,19.0,47.0,6.0,4.0,13.0,6.0,59,32,41,17,1.0,7.0,19.0,38.0,12.0,7.0,18.0,12.0,3,1
99,3,0,63,24,37,10,2.0,3.0,21.0,33.0,3.0,4.0,10.0,17.0,51,24,49,12,4.0,5.0,13.0,18.0,5.0,11.0,3.0,5.0,2,1
108,5,0,57,44,43,20,9.0,3.0,32.0,11.0,6.0,0.0,54.0,30.0,68,63,32,12,30.0,9.0,58.0,14.0,10.0,3.0,16.0,12.0,3,2
47,1,1,66,47,34,21,4.0,2.0,35.0,29.0,7.0,17.0,24.0,36.0,55,47,45,26,8.0,5.0,36.0,30.5,3.0,7.0,22.0,39.0,4,2
36,1,0,74,34,26,9,1.0,5.0,25.0,26.0,4.0,10.0,4.0,6.0,63,31,37,17,0.0,2.0,41.0,22.0,7.0,13.0,19.0,20.0,2,1
5,1,0,59,38,41,22,6.0,4.0,35.0,42.0,14.0,2.0,12.0,6.0,69,57,31,18,11.0,5.0,47.0,40.0,13.0,4.0,13.0,7.0,3,1
114,4,1,63,81,37,41,13.0,6.0,92.0,55.0,4.0,20.0,31.0,45.0,60,87,40,38,10.0,2.0,57.0,46.0,2.0,11.0,37.0,53.0,2,2
29,1,1,64,41,36,18,16.0,3.0,31.0,16.0,6.0,11.0,3.0,8.0,72,37,28,6,5.0,6.0,24.0,22.0,2.0,5.0,8.0,10.0,2,2
12,1,0,66,48,34,13,7.0,5.0,24.0,24.0,1.0,5.0,11.0,14.0,66,44,34,17,10.0,6.0,46.0,33.0,5.0,11.0,10.0,16.0,2,2
48,1,0,64,38,36,18,5.0,6.0,28.0,24.0,3.0,0.0,24.0,11.0,62,47,38,17,6.0,1.0,31.0,14.0,9.0,3.0,26.0,20.0,3,2
37,1,1,58,57,42,30,22.0,4.0,63.0,53.0,5.0,8.0,21.0,31.0,61,64,39,27,13.0,4.0,41.0,34.0,2.0,3.0,20.0,29.0,1,2
35,1,1,61,59,39,24,20.0,6.0,44.0,40.0,5.0,14.0,7.0,11.0,58,44,42,25,7.0,6.0,20.0,48.0,1.0,5.0,10.0,17.0,1,2
111,3,0,70,8,30,4,2.0,5.0,5.0,18.0,1.0,2.0,3.0,3.0,74,20,26,5,2.0,2.0,20.0,13.0,7.0,14.0,14.0,17.0,1,1
11,1,0,78,85,22,22,2.0,1.0,24.0,30.0,5.0,17.0,12.0,18.0,52,67,48,47,12.0,5.0,72.0,64.0,5.0,10.0,11.0,18.0,2,2
46,1,1,75,63,25,16,6.0,1.0,31.0,25.0,10.0,4.0,20.0,15.0,58,40,42,21,5.0,5.0,38.0,52.0,8.0,2.0,26.0,16.0,3,2
32,1,0,55,22,45,17,1.0,1.0,16.0,30.0,1.0,4.0,12.0,27.0,67,36,33,16,3.0,1.0,26.0,13.0,6.0,10.0,21.0,27.0,2,2
52,1,1,78,86,22,20,11.0,2.0,45.0,30.0,8.0,2.0,21.0,10.0,64,81,36,28,36.0,5.0,79.0,43.0,13.0,4.0,42.0,29.0,3,2
90,2,1,74,62,26,15,11.0,3.0,34.0,30.0,4.0,16.0,10.0,15.0,54,39,46,22,4.0,6.0,25.0,34.0,1.0,7.0,18.0,26.0,2,2
50,1,0,67,44,33,14,7.0,8.0,35.0,29.0,2.0,8.0,17.0,22.0,45,34,55,27,6.0,4.0,36.0,30.5,6.0,21.0,18.0,22.0,4,2
108,3,1,65,36,35,16,5.0,2.0,25.0,19.0,6.0,9.0,13.0,20.0,59,29,41,17,0.0,7.0,39.0,49.0,3.0,5.0,12.0,21.0,1,1
64,1,1,58,50,42,22,8.0,6.0,35.0,29.0,6.0,12.0,14.0,23.0,53,35,47,19,8.0,5.0,36.0,30.5,3.0,10.0,20.0,29.0,4,2
25,1,1,75,47,25,12,9.0,2.0,46.0,21.0,7.0,4.0,41.0,29.0,67,32,33,10,4.0,4.0,23.0,13.0,3.0,0.0,13.0,9.0,3,2
97,3,0,54,48,46,30,14.0,3.0,42.0,25.0,10.0,2.0,38.0,24.0,76,63,24,18,18.0,2.0,43.0,22.0,10.0,5.0,38.0,24.0,3,2
86,2,1,74,55,26,10,5.0,2.0,27.0,29.0,7.0,10.0,14.0,20.0,56,30,44,25,6.0,5.0,32.0,57.0,4.0,7.0,15.0,28.0,2,2
79,2,0,57,39,43,24,3.0,5.0,26.0,22.0,7.0,2.0,40.0,26.0,61,55,39,22,24.0,4.0,48.0,20.0,13.0,5.0,28.0,20.0,3,2
76,1,1,70,71,30,21,23.0,2.0,35.0,29.0,3.0,9.0,37.0,63.0,83,74,17,11,7.0,3.0,36.0,30.5,1.0,7.0,9.0,16.0,4,2
49,1,1,65,90,35,38,19.0,3.0,59.0,41.0,8.0,3.0,46.0,30.0,69,93,31,27,20.0,3.0,64.0,37.0,4.0,0.0,18.0,10.0,3,2
112,1,1,59,81,41,45,6.0,9.0,35.0,29.0,5.0,21.0,31.0,44.0,56,83,44,46,39.0,11.0,36.0,30.5,6.0,22.0,47.0,69.0,4,2
29,1,0,79,23,21,4,2.0,0.0,7.0,7.0,0.0,0.0,12.0,4.0,60,24,40,10,2.0,1.0,24.0,22.0,7.0,4.0,12.0,9.0,3,1
39,2,1,80,25,20,8,0.0,0.0,12.0,18.0,10.0,6.0,5.0,4.0,58,19,42,6,2.0,2.0,14.0,35.0,4.0,3.0,9.0,5.0,4,1
60,1,1,76,43,24,11,0.0,1.0,0.0,1.0,9.0,13.0,9.0,9.5,69,28,31,7,2.0,5.0,2.0,5.0,5.0,12.0,9.0,9.0,1,1
112,4,0,65,28,35,12,1.0,4.0,15.0,25.0,1.0,3.0,2.0,3.0,63,25,37,12,1.0,1.0,17.0,20.0,4.0,12.0,5.0,5.0,2,1
4,1,0,57,18,43,13,2.0,3.0,15.0,27.0,2.0,2.0,3.0,5.0,65,22,35,10,2.0,2.0,9.0,16.0,5.0,7.0,1.0,4.0,2,1
112,4,1,71,47,29,17,3.0,5.0,39.0,11.0,12.0,4.0,48.0,32.0,55,37,45,18,5.0,1.0,52.0,27.0,6.0,2.0,46.0,29.0,3,1
